midnight,midnightUTCOffset,dawn,dawnUTCOffset,sunrise,sunriseUTCOffset,sunset,sunsetUTCOffset,dusk,duskUTCOffset
2020-01-16 00:00:00-03:00,-3,2020-01-16 05:08:00-03:00,-3,2020-01-16 05:33:55-03:00,-3,2020-01-16 19:14:32-03:00,-3,2020-01-16 19:40:26-03:00,-3
2020-02-02 00:00:00-03:00,-3,2020-02-02 05:22:58-03:00,-3,2020-02-02 05:47:57-03:00,-3,2020-02-02 19:08:59-03:00,-3,2020-02-02 19:33:58-03:00,-3
2020-02-03 00:00:00-03:00,-3,2020-02-03 05:23:50-03:00,-3,2020-02-03 05:48:46-03:00,-3,2020-02-03 19:08:26-03:00,-3,2020-02-03 19:33:22-03:00,-3
2020-02-04 00:00:00-03:00,-3,2020-02-04 05:24:42-03:00,-3,2020-02-04 05:49:34-03:00,-3,2020-02-04 19:07:52-03:00,-3,2020-02-04 19:32:45-03:00,-3
2020-02-05 00:00:00-03:00,-3,2020-02-05 05:25:33-03:00,-3,2020-02-05 05:50:22-03:00,-3,2020-02-05 19:07:17-03:00,-3,2020-02-05 19:32:07-03:00,-3
2020-02-06 00:00:00-03:00,-3,2020-02-06 05:26:24-03:00,-3,2020-02-06 05:51:10-03:00,-3,2020-02-06 19:06:41-03:00,-3,2020-02-06 19:31:27-03:00,-3
2020-02-07 00:00:00-03:00,-3,2020-02-07 05:27:14-03:00,-3,2020-02-07 05:51:57-03:00,-3,2020-02-07 19:06:03-03:00,-3,2020-02-07 19:30:46-03:00,-3
2020-02-08 00:00:00-03:00,-3,2020-02-08 05:28:04-03:00,-3,2020-02-08 05:52:44-03:00,-3,2020-02-08 19:05:24-03:00,-3,2020-02-08 19:30:04-03:00,-3
2020-02-09 00:00:00-03:00,-3,2020-02-09 05:28:54-03:00,-3,2020-02-09 05:53:30-03:00,-3,2020-02-09 19:04:44-03:00,-3,2020-02-09 19:29:20-03:00,-3
2020-02-10 00:00:00-03:00,-3,2020-02-10 05:29:43-03:00,-3,2020-02-10 05:54:16-03:00,-3,2020-02-10 19:04:03-03:00,-3,2020-02-10 19:28:36-03:00,-3
2020-02-11 00:00:00-03:00,-3,2020-02-11 05:30:32-03:00,-3,2020-02-11 05:55:02-03:00,-3,2020-02-11 19:03:20-03:00,-3,2020-02-11 19:27:50-03:00,-3
2020-02-12 00:00:00-03:00,-3,2020-02-12 05:31:20-03:00,-3,2020-02-12 05:55:47-03:00,-3,2020-02-12 19:02:36-03:00,-3,2020-02-12 19:27:03-03:00,-3
2020-02-13 00:00:00-03:00,-3,2020-02-13 05:32:08-03:00,-3,2020-02-13 05:56:32-03:00,-3,2020-02-13 19:01:51-03:00,-3,2020-02-13 19:26:15-03:00,-3
